n s phi1 d4_phi1 phi2 d4_phi2 phi3 phi4 phi5
177 1.77 0.02807657140727754 0.00032440232068751225 0.021990073865908788 0.0001583285460362038 0.032160275336109795 0.09854869187295551 -0.07421629577233241
178 1.78 0.028224140059536607 0.00032340083106993124 0.022107666576354115 0.00015798464724971876 0.0323361998841567 0.09909677222162583 -0.07463150374011182
179 1.79 0.028371538560445553 0.0003224019186346919 0.022225154540331665 0.00015764137925395366 0.03251202999818664 0.09964470385826873 -0.07504663990329122
180 1.8 0.028518766302954635 0.0003214055773244435 0.022342537330491907 0.00015729874098495465 0.03268776521610134 0.1001924859073754 -0.07546170379841773
181 1.81 0.02866582268323753 0.0003204118010953431 0.022459814521061314 0.00015695673138048317 0.03286340507652691 0.10074011749300232 -0.07587669496133335
182 1.82 0.02881270710068129 0.00031942058391702514 0.022576985687839543 0.00015661534938001342 0.03303894911881425 0.10128759773877533 -0.07629161292717528
183 1.83 0.028959418957877736 0.0003184319197725736 0.022694050408197455 0.00015627459392472944 0.03321439688303632 0.10183492576788605 -0.07670645723037356
184 1.84 0.029105957660613135 0.00031744580265849167 0.022811008261069937 0.0001559344639575227 0.03338974790999147 0.10238210070309278 -0.07712122740465305
185 1.85 0.029252322617856596 0.00031646222658467463 0.022927858826956693 0.00015559495842298928 0.03356500174119725 0.10292912166672696 -0.07753592298303125
186 1.86 0.029398513241753965 0.00031548118557437883 0.023044601687913863 0.00015525607626742702 0.03374015791889595 0.10347598778068046 -0.07795054349781737
187 1.87 0.029544528947614168 0.00031450267366419494 0.02316123642755684 0.00015491781643883307 0.03391521598604896 0.10402269816642035 -0.07836508848061312
